ID,Source,Element,Preuve,Confiance,Severite,Impact,Recommandation,OWASP,Statut
FIND-001,BeVigil+Yaazhini,Communication en clair,Yaazhini>APICreds2Activity.java + BeVigil>Network,Forte,High,Interception credentials via MitM,Utiliser HTTPS et SSL pinning,MASVS-NETWORK-1,Confirme
FIND-002,Yaazhini,Mode debug actif en production,Yaazhini>AndroidManifest.xml android:debuggable=true,Forte,Medium,Acces JDWP et extraction memoire via ADB,Definir android:debuggable=false dans le build release,MASVS-RESILIENCE-2,Confirme
FIND-003,BeVigil+Yaazhini,Backup Android non restreint,Yaazhini>AndroidManifest.xml android:allowBackup=true + BeVigil>Manifest,Forte,Medium,Extraction donnees via adb backup sans root,Definir android:allowBackup=false,MASVS-STORAGE-4,Confirme
FIND-004,Yaazhini,ContentProvider exporte sans permission,Yaazhini>AndroidManifest.xml exported=true,Forte,Medium,Acces donnees par app tierce malveillante,Ajouter android:exported=false ou permission signature,MASVS-PLATFORM-1,Confirme
FIND-005,Yaazhini,JavaScript actif dans WebView,Yaazhini>InputValidation2URISchemeActivity.java,Moyenne,Low,Injection JS possible si URI non valide,Desactiver JS si non necessaire - valider URI schemes,MASVS-PLATFORM-2,Confirme
FIND-006,Yaazhini,Stockage donnees sur memoire externe,Yaazhini>ContextCompat.java(4) + InsecureDataStorage4Activity.java,Forte,Medium,Donnees lisibles par toute app avec READ_EXTERNAL_STORAGE,Utiliser getFilesDir() pour donnees sensibles,MASVS-STORAGE-2,Confirme
FIND-007,BeVigil+Yaazhini,URL hardcodee en HTTP,Yaazhini>Linked URLs>http://payatu.com (Cloudflare) + BeVigil,Forte,Medium,Interception MitM et exposition topologie reseau,Utiliser HTTPS - externaliser les URLs,MASVS-NETWORK-1,Confirme
FIND-008,Yaazhini,Absence protection copier-coller,Yaazhini>Info>34 fichiers XML (activity_apicreds2 activity_hardcode...),Moyenne,Low,App malveillante peut lire le presse-papiers,Utiliser inputType=textPassword sur champs sensibles,MASVS-PLATFORM-3,Confirme
FIND-009,BeVigil,Credentials API dans les assets,BeVigil>Assets analysis>bevigil_export.json,Forte,High,Compromission services backend si credentials actifs,Ne jamais stocker credentials dans le code - utiliser vault,MASVS-STORAGE-1,A confirmer
FIND-010,BeVigil+Yaazhini,Absence de certificate pinning,Yaazhini>Proxy Settings sans restriction + BeVigil>Network,Moyenne,Medium,Interception HTTPS via Burp sans alerte,Implementer CertificatePinner via OkHttp ou NetworkSecurityConfig,MASVS-NETWORK-2,Confirme
FIND-011,BeVigil,SharedPreferences non chiffrees,BeVigil>Storage analysis>SharedPreferences,Moyenne,Medium,Donnees extractibles sur appareil roote ou via backup,Utiliser EncryptedSharedPreferences (Jetpack Security),MASVS-STORAGE-1,A confirmer
FIND-012,BeVigil+Yaazhini,Code source non obfusque,Yaazhini>View Code lisible + BeVigil>Code analysis,Forte,Low,Retroingenierie facilitee - logique metier exposee,Activer ProGuard/R8 dans le build release,MASVS-RESILIENCE-3,Confirme
